States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3037.5,2850,2815,5787.5,6275,6617.5,6977.5,5287.5,3552.5,,13565,,8729.5,,9765.75,7499.25,4425,,1512.5,2300,1275,750,14-05-2016,1
Tamil Nadu,3864.29,3037.14,3262.86,6564.29,8628.57,8785.71,8442.86,5928.57,3657.14,,15071.17,12967,7821.14,,9900.71,7217,4585.71,,1485.71,1914.29,3728.57,1954.29,15-05-2016,1
Tamil Nadu,2743,2744,2550,12580,10340,10680,6580,6600,3890,,15039.4,,8445.6,,9098,6799.8,4550,,1540,1880,1100,780,16-05-2016,2
Tamil Nadu,3330,2692,2670,7200,6150,7220,6450,5150,4040,,13852.6,,8534.8,,8674.8,6765.2,5400,,1510,1480,3220,3520,17-05-2016,2
Tamil Nadu,3075,2900,2860,5775,6400,7375,7125,5222.5,3555,,13128.75,,8978,,9689,7594.25,4525,,1537.5,2525,1750,1150,18-05-2016,2
Tamil Nadu,3993.75,3045,3355,6550,8675,9900,8512.5,5900,3621.25,,15213.38,12967,7981.25,,10030.5,7213.13,4600,,1425,2437.5,4150,2712.5,19-05-2016,2
Tamil Nadu,2902,2764,2562.5,12140,9840,10130,6430,6500,3926,,14698,,8489.6,,9120,6943.6,4542,,1540,1740,1240,720,20-05-2016,2
Tamil Nadu,3278,2712,2605,6620,6100,6620,6410,4950,4018,,13522.8,,8644.6,,9004,7147.8,4880,,1510,1540,4340,2220,21-05-2016,2
Tamil Nadu,3080,2990,3068,6580,6780,7760,7380,5340,3406,,13858.8,,8542.6,,9739.25,7090.5,4423.4,,1474,2040,1480,1100,22-05-2016,2
Tamil Nadu,3927.78,3093.33,2948.75,6544.44,8988.89,11700,9055.56,5950,3593.33,2800,14713.67,12483.5,8217.78,,10068.56,7906.11,4688.89,36000,1522.22,2311.11,8222.22,2077.78,23-05-2016,2
Tamil Nadu,2723,2740,2336.75,6400,13740,14700,9480,7500,3278,,12255.2,,7973.2,,8967.4,5651.8,4029,,1492,1700,1860,3660,24-05-2016,2
Tamil Nadu,3245,2784,2607.5,11700,8080,9390,6300,6100,3972,,14334.8,,8445.6,,9132,7174.8,4553,,1540,1540,1240,740,25-05-2016,2
